date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-03-06,8550.0,6642.0073,47609.684976820805,560.7130428466648,48170.39801966747,76702.6351118,142.78664333333302,7,21065.139977,18779.956921,8619.584565800002,0.13925839999865275
2025-03-07,6642.0073,6170.8379,17707.4578778007,606.8883096448337,18314.346187445535,34126.418471,191.09720566666687,10,16885.70164,14101.470867,10610.999370333335,0.1418331999957445
2025-03-08,6170.8379,8550.0,18805.171032048638,277.6138966233327,19082.784928671972,36691.8493061,89.16187333333318,8,19599.73786,13734.541815,11852.675617766668,0.1252230999962194
2025-03-09,8550.0,8550.0,47573.3231545665,628.1603715500004,48201.4835261165,77582.000296,116.88342,5,23178.631829600003,18774.691851,9961.418687400002,0.13040650000039022
2025-03-10,8550.0,8550.0,46446.4518615757,3198.755476952666,49645.207338528366,76040.04381300001,1139.5040580000002,13,23308.9017026,18880.210445,4708.7851634000035,0.16418659999908414
2025-03-11,8550.0,8550.0,46134.55421858386,1637.364532517328,47771.918751101184,75720.9229452,423.0825043333318,10,23318.666928200004,18888.120263290002,7774.539984623338,0.1275143999955617
2025-03-12,8550.0,8550.0,45722.28381231126,972.2683377866642,46694.55215009792,75103.5969087,291.6149333333328,13,23181.382844,18776.9201417,8555.214456400001,0.12512669999705395
2025-03-13,8550.0,5658.1438,43658.37266354953,8524.7437830476,52183.11644659713,70759.54376667,2277.0273712666667,10,19388.572161000004,18307.414074400003,4409.795034670003,0.13090899999951944
2025-03-14,5658.1438,5246.3811,16636.23315352165,1325.4757005404163,17961.708854062068,32176.163169500003,318.2839091666667,10,15903.309860000001,13252.267368,13813.978603333333,0.13509499999781838
2025-03-15,5246.3811,8550.0,18189.92367274905,2343.82474774,20533.74842048905,35801.2905575,771.3023200000001,13,19569.02081,12877.649858,8957.0967755,0.15152340000349795
2025-03-16,8550.0,8550.0,44211.77684362883,1960.7874905177982,46172.56433414663,72905.1978017,505.18864193333275,12,22154.2878096,17944.9731763,5850.0248770000035,0.1276875999974436
2025-03-17,8550.0,8550.0,44003.16398742498,607.4501148583323,44610.61410228331,72705.6240136,116.96924666666644,8,22108.94348,17908.2442889,10763.762635833336,0.13982489999762038
2025-03-18,8550.0,8550.0,43049.661987900996,2853.8883843163303,45903.55037221732,71328.16668,597.289918666666,11,21950.720891,17780.08399,6628.861331000002,0.14208309999958146
2025-03-19,8550.0,8550.0,42997.249917490495,1000.8812099616647,43998.13112745216,71190.546868222,213.74401333333287,5,21868.523317000003,17713.503928,7783.801042555335,0.14594930000021122
2025-03-20,8550.0,4860.2165,40866.2980954756,2369.2323373599975,43235.5304328356,66349.99923300001,613.7676066666661,12,17810.050778,17746.94632,4691.700565000001,0.1395369000019855
2025-03-21,4860.2165,4546.5083,15773.1185148256,949.381920511664,16722.500435337264,30631.709069999997,255.98700333333284,12,15169.065765,12569.280621,16254.446412666666,0.12340620000031777
2025-03-22,4546.5083,8550.0,17747.99251359361,2366.179853616951,20114.17236721056,35162.98462862,619.458128046667,12,19574.397343999997,12252.119342999998,12578.965022333334,0.16868979999708245
2025-03-23,8550.0,8550.0,40852.263485574,2450.8077839865014,43303.0712695605,67759.59724,653.6575960000004,18,21715.29044,17589.385324000003,5517.629603333336,0.14335349999601021
2025-03-24,8550.0,8550.0,40355.221628137995,2295.974198507496,42651.19582664549,67001.79164,655.1552166666653,12,21569.728581000003,17471.480181,5560.201373333335,0.1616033000027528
2025-03-25,8550.0,8550.0,40298.515543416,4847.261509241167,45145.77705265716,66994.30671,1242.47431,18,21607.916265,17502.412265,3181.152303333336,0.14350470000499627
2025-03-26,8550.0,8550.0,40254.1240889972,717.926935171666,40972.05102416887,66935.817883,244.6075966666664,14,21617.42765,17510.116464400002,7480.559427400003,0.1328880000000936
2025-03-27,8550.0,4193.2691,37839.860615552,3507.6779435283306,41347.538559080334,61388.50203999999,953.7170899999992,13,16761.230976,17497.654943,4361.653697000002,0.1979695999980322
2025-03-28,4193.2691,3913.9486,14941.3700758474,1434.3841327944979,16375.754208641898,29181.80406,434.1509343333329,11,14444.856531,11951.722279,16300.939975666666,0.19528580000041984
2025-03-29,3913.9486,8550.0,17197.4011630844,1404.5362501446655,18601.937413229065,34470.678265999995,385.42185399999966,12,19638.965070000002,11735.115451000001,19245.041317666666,0.13261799999600044
2025-03-30,8550.0,8550.0,38283.235729545995,3169.1740645040622,41452.40979405006,63720.368475,859.4470709666656,12,21411.302265,17343.1548987,5166.04847966667,0.13805760000104783
2025-03-31,8550.0,8550.0,37944.619529344,7667.51173013683,45612.13125948083,63204.46562,1912.0798676666664,16,21457.1094113,17380.258655999998,4088.3052490333357,0.14325120000285096
2025-04-01,8550.0,8550.0,37869.068325391,10338.04670357208,48207.11502896308,63280.046590000005,3517.682205973333,19,21482.98058504,17401.214335,2507.111029266668,0.23137899999710498
2025-04-02,8550.0,8550.0,37879.927611985,15643.86448147771,53523.7920934627,63360.659719999996,3907.455561899999,11,21384.757809900002,17321.653893000002,2769.675965000002,0.3587898000041605
2025-04-03,8550.0,3580.4576,36105.8678163289,4031.407458607827,40137.27527493673,58829.739211,989.0323749999984,16,16008.536525700001,17439.502755200003,5386.207548833333,0.124527300002228
2025-04-04,3580.4576,3558.4399,14607.7471481978,1460.7439908049987,16068.491139002797,28638.199992,441.7040466666662,10,14117.67514,11455.1328555,19986.559504166667,0.1545451999991201
2025-04-05,3558.4399,8550.0,17082.572341185303,3447.8008889350003,20530.373230120305,34473.056221,879.6325233333334,14,19604.15545,11386.96183,15091.380141,0.13198279999778606
2025-04-06,8550.0,8550.0,38163.4347788593,1460.1017703718328,39623.53654923113,64187.235767,393.8148896666662,13,21544.665511,17451.1791352,6077.488014200002,0.13287290000153007
2025-04-07,8550.0,8550.0,37938.217083365,1264.9469687274973,39203.1640520925,63839.340370000005,400.57820299999923,13,21372.702165000002,17311.8888254,6936.385950066668,0.1352930000066408
2025-04-08,8550.0,8550.0,37780.205438709,3432.5798050699905,41212.78524377899,63590.055159999996,791.5083399999978,17,21332.0980949,17278.999513900002,5975.2713023333345,0.14303020000079414
2025-04-09,8550.0,8550.0,37469.922739148,8962.619622546335,46432.54236169434,62965.24612999999,2416.469393666667,14,21440.09305376,17366.475427999998,2173.786881240001,0.15182150000327965
2025-04-10,8550.0,3448.1317,35371.669573944004,3682.5563307558978,39054.2259046999,57652.03613,859.0947840666659,14,15647.0380344,17265.7823287,5669.237308366668,0.1509970000042813
2025-04-11,3448.1317,3367.5086,14282.05861893826,1613.2803474583325,15895.338966396592,28273.5281186,445.29594333333296,9,13854.5323288,11294.731946,20842.373512466664,0.14476550000108546
2025-04-12,3367.5086,8550.0,16925.6571565628,1679.9416064566672,18605.59876301947,34406.46718,493.7955266666667,10,19577.635140000002,11193.642207,17491.109223666666,0.14903939999931026
2025-04-13,8550.0,8550.0,37184.472878199,2035.6363894749172,39220.10926767391,62570.98739,476.46905202666596,13,20839.414577260002,16879.92587,4811.609251433335,0.14017520000197692
2025-04-14,8550.0,8550.0,36873.365499378,1697.5699383979966,38570.935437775996,62122.45689,498.52851199999895,16,20673.867072,16745.832406,6164.918936000001,0.2065705999993952
2025-04-15,8550.0,8550.0,37108.3107983184,1518.3419314570015,38626.6527297754,62445.693161,340.24377966666697,8,20757.785477999998,16813.8062828,8702.528912133335,0.2160308999955305
2025-04-16,8550.0,8550.0,36725.6684176888,3360.3048483652146,40085.97326605402,61797.828167,901.7458755666663,18,20149.248506900003,16320.891311000001,3091.6248966666685,0.1490715999971144
2025-04-17,8550.0,3140.2841,34123.0569653862,1324.663183309999,35447.72014869619,55626.712593000004,289.05639633333305,12,14079.912812,16273.473681,5240.987508333335,0.12699849999626167
2025-04-18,3140.2841,2953.3765,13872.531959667802,895.3316653299993,14767.8636249978,27670.858053,278.7894766666664,8,13369.257694,10997.31558,19223.58823233333,0.13162540000485023
2025-04-19,2953.3765,8550.0,16541.35818792728,675.4581401416665,17216.816328068944,34031.6213292,221.7992233333334,9,19640.705289999998,10872.01016,18700.046172533333,0.14113689999794587
